TOWN,2012,2013,2014,2015,2016,2017,2012_rate,2013_rate,2014_rate,2015_rate,2016_rate,2017_rate,population
CANTERBURY,,,1.0,1.0,,3.0,,,1.9692792438,1.9692792438,,5.90783773139,5078.0
CANTON,,2.0,2.0,,,2.0,,1.93817230352,1.93817230352,,,1.93817230352,10319.0
CHAPLIN,,,,1.0,1.0,2.0,,,,4.2194092827,4.2194092827,8.4388185654,2370.0
CHESHIRE,,3.0,2.0,3.0,,9.0,,1.02550078622,0.683667190812,1.02550078622,,3.07650235865,29254.0
CHESTER,1.0,,1.0,,1.0,,2.331002331,,2.331002331,,2.331002331,,4290.0
CLINTON,2.0,2.0,3.0,4.0,3.0,4.0,1.5299877601,1.5299877601,2.29498164015,3.0599755202,2.29498164015,3.0599755202,13072.0
COLCHESTER,2.0,2.0,,1.0,5.0,2.0,1.24131082423,1.24131082423,,0.620655412115,3.10327706058,1.24131082423,16112.0
COLUMBIA,,,,3.0,3.0,1.0,,,,5.49853372434,5.49853372434,1.83284457478,5456.0
CORNWALL,,,,,,1.0,,,,,,7.48502994012,1336.0
COVENTRY,3.0,,4.0,1.0,1.0,2.0,2.41041298409,,3.21388397879,0.803470994697,0.803470994697,1.60694198939,12446.0
CROMWELL,1.0,,1.0,1.0,2.0,3.0,0.711794433768,,0.711794433768,0.711794433768,1.42358886754,2.1353833013,14049.0
DANBURY,6.0,12.0,8.0,11.0,17.0,18.0,0.715222314936,1.43044462987,0.953629753248,1.31124091072,2.02646322565,2.14566694481,83890.0
DARIEN,,1.0,1.0,1.0,2.0,,,0.464705608997,0.464705608997,0.464705608997,0.929411217993,,21519.0
DEEP RIVER,1.0,,3.0,,2.0,2.0,2.19683655536,,6.59050966608,,4.39367311072,4.39367311072,4552.0
DERBY,4.0,2.0,4.0,4.0,3.0,2.0,3.1360250882,1.5680125441,3.1360250882,3.1360250882,2.35201881615,1.5680125441,12755.0
DURHAM,,2.0,1.0,1.0,1.0,1.0,,2.73149412729,1.36574706364,1.36574706364,1.36574706364,1.36574706364,7322.0
EAST GRANBY,,,1.0,,,1.0,,,1.90985485103,,,1.90985485103,5236.0
EAST HADDAM,2.0,1.0,2.0,2.0,1.0,3.0,2.19828533744,1.09914266872,2.19828533744,2.19828533744,1.09914266872,3.29742800616,9098.0
EAST HAMPTON,2.0,1.0,5.0,4.0,2.0,5.0,1.55303618574,0.776518092872,3.88259046436,3.10607237149,1.55303618574,3.88259046436,12878.0
EAST HARTFORD,7.0,8.0,13.0,10.0,13.0,17.0,1.3770311209,1.57374985246,2.55734351025,1.96718731558,2.55734351025,3.34421843648,50834.0
EAST HAVEN,2.0,5.0,4.0,12.0,5.0,9.0,0.689298638635,1.72324659659,1.37859727727,4.13579183181,1.72324659659,3.10184387386,29015.0
EAST LYME,1.0,4.0,2.0,1.0,1.0,1.0,0.528289925511,2.11315970204,1.05657985102,0.528289925511,0.528289925511,0.528289925511,18929.0
EAST WINDSOR,1.0,2.0,4.0,1.0,5.0,3.0,0.877731940665,1.75546388133,3.51092776266,0.877731940665,4.38865970333,2.633195822,11393.0
